VTuber ID,View Count,Title,Publish Time,URL,Thumbnail URL
d837e8fda137492c9d77882b98ff863a,344207,Vtuber媽媽想要加入女兒的會員群組😱 #vtuber #台v #真理果,2024-12-30T09:30:14Z,https://www.youtube.com/watch?v=cku1uqbS3qQ,https://i.ytimg.com/vi/cku1uqbS3qQ/mqdefault.jpg
182da09d8d454f37a52ec546cbb35e39,301953,【初配信】鷗麥麥麥麥麥麥麥麥麥麥麥麥麥，哈囉:D【鷗麥麥麥】,2025-01-17T12:16:38Z,https://www.youtube.com/watch?v=r8Rwh9biPKs,https://i.ytimg.com/vi/r8Rwh9biPKs/mqdefault.jpg
d837e8fda137492c9d77882b98ff863a,275660,現在台灣高中生都這麼大膽嗎？ #vtuber #真理果 #台v,2025-01-11T09:30:27Z,https://www.youtube.com/watch?v=nr6wYKbpQLo,https://i.ytimg.com/vi/nr6wYKbpQLo/mqdefault.jpg
2741a90689f342548daad7f760b0a8f7,254534,【隨時會刪】Q:可以給我看你皮下的樣子嗎#shorts #short,2024-12-27T12:56:35Z,https://www.youtube.com/watch?v=dwl2eH0V3Is,https://i.ytimg.com/vi/dwl2eH0V3Is/mqdefault.jpg
182da09d8d454f37a52ec546cbb35e39,251445,課金過度的爸爸vs毀滅世界的VTuber女兒,2024-12-24T10:00:07Z,https://www.youtube.com/watch?v=vw9hZ-cN5bw,https://i.ytimg.com/vi/vw9hZ-cN5bw/mqdefault.jpg
d837e8fda137492c9d77882b98ff863a,243822,親戚都訂閱我的頻道了？！ #vtuber #真理果 #台v,2025-01-01T09:30:09Z,https://www.youtube.com/watch?v=NmTK2UN3m_I,https://i.ytimg.com/vi/NmTK2UN3m_I/mqdefault.jpg
d837e8fda137492c9d77882b98ff863a,232050,成為英語系Vtuber能更受歡迎嗎？ #vtuber #台v #台灣vtuber,2024-12-22T09:30:27Z,https://www.youtube.com/watch?v=gQo7YrfDQr8,https://i.ytimg.com/vi/gQo7YrfDQr8/mqdefault.jpg
d837e8fda137492c9d77882b98ff863a,228927,突然間多出了一位哥哥…？ #vtuber #真理果 #台v,2024-12-26T09:30:01Z,https://www.youtube.com/watch?v=4YGZhKCfloY,https://i.ytimg.com/vi/4YGZhKCfloY/mqdefault.jpg
d837e8fda137492c9d77882b98ff863a,214406,為什麼冰箱裡有過期十年的東西？ #vtuber #真理果 #台v,2025-01-03T09:30:12Z,https://www.youtube.com/watch?v=_RHz-WfEOM4,https://i.ytimg.com/vi/_RHz-WfEOM4/mqdefault.jpg
d837e8fda137492c9d77882b98ff863a,214083,被媽媽造謠要跟哥哥去夜店？！ #vtuber #台v #真理果,2024-12-28T09:30:14Z,https://www.youtube.com/watch?v=fCmBDfHrazw,https://i.ytimg.com/vi/fCmBDfHrazw/mqdefault.jpg
